cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
10,train,2,1,True,True,0.137104,0.130546,0.00655758,0.143474,0.1512,0.0116771,0.0115752,0.130539,0.137096,True,0.09533679999999999,0.100238,0.0667483,0.149089,0.040199,0.0832175,0.0833206,0.120149,0.119733,0.341338,0.341318,0.88045,0.925144,0.000128729,0.00670158,0.000144,0.00630196,4.85149e-05,0.00630196,0.000503239
11,train,3,0,True,True,0.131184,0.137784,-0.00659998,0.146167,0.153976,0.00787072,0.00773569,0.131176,0.137776,False,0.089998575,0.178673,0.0599886,0.0950827,0.0956033,0.0537702,0.111482,0.0736714,0.0517174,0.339769,0.33971,0.880742,0.924754,6.53768e-05,-0.00663948,-3.95055e-05,0.0193665,4.18854e-05,0.0193665,0.000487555
12,train,0,0,True,True,0.127838,0.134666,-0.00682768,0.144296,0.152548,0.00772437,0.00758999,0.127831,0.134659,False,0.08880766250000001,0.0565175,0.193408,0.047135,0.0958546,0.046131,0.0667881,0.112808,0.0918191,0.339233,0.339154,0.878022,0.928562,0.000127588,-0.00686963,-4.19447e-05,0.0261313,4.91706e-05,0.0261313,0.000490152
13,train,1,1,True,True,0.135718,0.128349,0.00736877,0.15129,0.161175,0.00754318,0.00726793,0.128342,0.13571,True,0.0690425125,0.0599625,0.127193,-3.17796e-26,0.185079,0.0088959,0.0777729,0.0418069,0.0516299,0.338236,0.338092,0.877136,0.929923,0.000265128,0.00766447,0.000295697,0.0208709,4.24994e-05,0.0208709,0.0004855
14,train,2,1,True,True,0.136916,0.130353,0.00656268,0.143971,0.151676,0.011576,0.0114664,0.130346,0.136909,True,0.09447042500000001,0.0996209,0.0653804,0.148166,0.0389009,0.0826311,0.0825771,0.119495,0.118992,0.341251,0.341234,0.880318,0.925322,0.000122031,0.00670588,0.000143207,0.00597351,4.84585e-05,0.00597351,0.000503031
15,train,3,0,True,True,0.130787,0.137334,-0.00654698,0.146399,0.153978,0.00771825,0.00760171,0.130779,0.137326,False,0.0892790625,0.179538,0.0586185,0.0941748,0.0945132,0.0530625,0.110894,0.0729156,0.0505159,0.339643,0.339602,0.880623,0.924911,8.31335e-05,-0.0065778,-3.08231e-05,0.0197087,4.19176e-05,0.0197087,0.00048804
16,train,0,0,True,True,0.127593,0.134346,-0.00675282,0.144745,0.152744,0.00765819,0.00754923,0.127586,0.134339,False,0.08798547500000001,0.0554245,0.192914,0.0460646,0.0942378,0.0453673,0.0656548,0.113513,0.0907078,0.339132,0.339078,0.878025,0.928547,0.000143769,-0.00678027,-2.74485e-05,0.0258153,4.91348e-05,0.0258153,0.000488829
17,train,1,1,True,True,0.135615,0.128132,0.00748363,0.15169,0.1618,0.00762311,0.00732646,0.128125,0.135608,True,0.068131895,0.0586871,0.126179,-3.09991e-26,0.184442,0.00813706,0.076214,0.0410177,0.0503783,0.338185,0.338029,0.876715,0.930555,0.000373858,0.00780771,0.000324082,0.0205211,4.24602e-05,0.0205211,0.000485507
18,train,2,1,True,True,0.136355,0.129679,0.00667601,0.144488,0.15217,0.0114679,0.0113504,0.129672,0.136347,True,0.0935823,0.0989508,0.0639911,0.147218,0.0375952,0.0820465,0.0818378,0.118804,0.118215,0.341163,0.34115,0.879624,0.926283,0.000113831,0.00668192,5.90567e-06,0.00563508,4.83785e-05,0.00563508,0.00050248
19,train,3,0,True,True,0.130406,0.136893,-0.00648673,0.14667,0.153996,0.00757828,0.00748313,0.130399,0.136886,False,0.0885425375,0.180314,0.0572461,0.0932349,0.0934102,0.0523485,0.110338,0.0721477,0.0493009,0.339515,0.339496,0.880529,0.925027,0.000140411,-0.00639522,9.15084e-05,0.0200042,4.18695e-05,0.0200042,0.000488251
