cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
11,train,3,0,True,True,0.135147,0.142185,-0.00703735,0.158631,0.167472,0.158579,0.167423,0.135146,0.142183,False,0.10825720000000001,0.135147,0.142185,-0.00703735,False,0.135146,0.142183,-0.00703728,False,0.135145,0.142182,-0.00703721,False,0.135143,0.14218,-0.00703714,False,0.179313,0.0611183,0.0958527,0.0967448,0.338035,0.337955,1.20171,8.89973e-05,0.0439628
12,train,0,0,True,True,0.13197,0.139148,-0.00717804,0.158662,0.167227,0.158622,0.167185,0.131969,0.139147,False,0.09949034999999999,0.13197,0.139148,-0.00717804,False,0.131969,0.139147,-0.00717797,False,0.131968,0.139146,-0.0071779,False,0.131966,0.139144,-0.00717782,False,0.0576634,0.194307,0.0482837,0.0977073,0.337323,0.337277,1.20252,0.000122476,0.0130869
13,train,1,1,True,True,0.138087,0.13104,0.007047,0.155258,0.164056,0.155216,0.164013,0.131039,0.138086,True,0.094240025,0.138087,0.13104,0.007047,True,0.138086,0.131039,0.00704693,True,0.138085,0.131038,0.00704686,True,0.138083,0.131036,0.00704679,True,0.0618581,0.128581,-1.64815e-26,0.186521,0.337744,0.337681,1.20213,0.000111548,1.04533
14,train,2,1,True,True,0.147542,0.140096,0.00744573,0.171622,0.179934,0.171581,0.179894,0.140094,0.14754,True,0.089612425,0.147542,0.140096,0.00744573,True,0.14754,0.140094,0.00744566,True,0.147539,0.140093,0.00744559,True,0.147537,0.140092,0.00744551,True,0.100886,0.0674829,0.149441,0.0406398,0.337513,0.337461,1.2024,0.000121859,1.04533
15,train,3,0,True,True,0.135002,0.142049,-0.00704767,0.158603,0.167457,0.158552,0.167408,0.135,0.142048,False,0.108153675,0.135002,0.142049,-0.00704767,False,0.135,0.142048,-0.0070476,False,0.134999,0.142047,-0.00704753,False,0.134998,0.142045,-0.00704746,False,0.180234,0.0604868,0.0955172,0.0963767,0.338003,0.337924,1.20172,8.97668e-05,0.0439628
16,train,0,0,True,True,0.13199,0.139183,-0.00719245,0.158893,0.167463,0.158855,0.167424,0.131989,0.139181,False,0.0991128,0.13199,0.139183,-0.00719245,False,0.131989,0.139181,-0.00719238,False,0.131988,0.13918,-0.00719231,False,0.131986,0.139179,-0.00719224,False,0.057213,0.194337,0.0478535,0.0970477,0.337303,0.337256,1.20252,0.000122277,0.0130866
17,train,1,1,True,True,0.138124,0.131066,0.0070579,0.155465,0.16427,0.155424,0.164229,0.131065,0.138122,True,0.094041325,0.138124,0.131066,0.0070579,True,0.138122,0.131065,0.00705783,True,0.138121,0.131063,0.00705776,True,0.13812,0.131062,0.00705768,True,0.0614283,0.128249,-1.63253e-26,0.186488,0.337734,0.337672,1.20213,0.000111205,1.04533
18,train,2,1,True,True,0.147671,0.140215,0.00745597,0.171861,0.180168,0.171822,0.18013,0.140214,0.14767,True,0.08922275,0.147671,0.140215,0.00745597,True,0.14767,0.140214,0.0074559,True,0.147668,0.140212,0.00745582,True,0.147667,0.140211,0.00745575,True,0.10074,0.0669562,0.149086,0.0401088,0.337496,0.337444,1.20241,0.000121906,1.04533
19,train,3,0,True,True,0.134942,0.14199,-0.00704813,0.158585,0.167451,0.158537,0.167404,0.13494,0.141988,False,0.108040725,0.134942,0.14199,-0.00704813,False,0.13494,0.141988,-0.00704806,False,0.134939,0.141987,-0.00704799,False,0.134938,0.141986,-0.00704792,False,0.181132,0.0598547,0.0951705,0.0960057,0.337971,0.337893,1.20174,9.04479e-05,0.0388803
20,train,0,0,True,True,0.132014,0.139222,-0.00720754,0.159129,0.167705,0.159091,0.167665,0.132013,0.13922,False,0.09872695,0.132014,0.139222,-0.00720754,False,0.132013,0.139221,-0.00720747,False,0.132012,0.139219,-0.00720739,False,0.13201,0.139218,-0.00720732,False,0.0567582,0.194353,0.0474155,0.0963811,0.337282,0.337236,1.20252,0.000122069,0.012774
21,train,1,1,True,True,0.138163,0.131094,0.00706914,0.155676,0.164488,0.155635,0.164447,0.131093,0.138162,True,0.09383715000000001,0.138163,0.131094,0.00706914,True,0.138162,0.131093,0.00706907,True,0.138161,0.131092,0.00706899,True,0.138159,0.13109,0.00706892,True,0.0609926,0.127903,-1.61664e-26,0.186453,0.337724,0.337661,1.20212,0.000110855,1.04533
