vin,cint_f,gsum_siemens,vth_v,sigma_v,trials,fire_probability,tfire_mean_s,time_code_0_1,vint_end_mean,ecap_end_j_mean,source,simulator
0.09999999999999999,1e-14,1e-07,0.008,0.001,3,1.0,7.07e-09,0.8336708860759493,0.03002,4.50599e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,1e-07,0.008,0.001,3,1.0,6.338333333333333e-09,0.8521940928270042,0.0375249,7.04061e-18,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,1e-07,0.008,0.001,3,1.0,5.115e-09,0.8831645569620253,0.04502989999999999,1.01385e-17,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,1e-07,0.002,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,1e-07,0.002,0.0,3,1.0,2.451e-08,0.3921518987341772,0.00250166,3.12916e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,1e-07,0.002,0.0,3,1.0,1.251e-08,0.6959493670886077,0.00500333,1.25166e-19,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,1e-07,0.002,0.0,3,1.0,8.51e-09,0.7972151898734176,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,1e-07,0.002,0.0,3,1.0,6.51e-09,0.8478481012658228,0.0100067,5.00665e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,1e-07,0.002,0.0,3,1.0,5.31e-09,0.8782278481012659,0.0125083,7.82289e-19,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,1e-07,0.002,0.0,3,1.0,4.51e-09,0.898481012658228,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,1e-07,0.002,0.001,3,1.0,2.1748333333333333e-08,0.4620675105485232,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,1e-07,0.002,0.001,3,1.0,3.6875000000000003e-09,0.9193037974683543,0.00250166,3.12916e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,1e-07,0.002,0.001,3,1.0,2.4441666666666665e-09,0.9507805907172996,0.00500333,1.25166e-19,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,1e-07,0.002,0.001,3,1.0,3.3158333333333334e-09,0.9287130801687763,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,1e-07,0.002,0.001,3,1.0,2.3766666666666665e-09,0.9524894514767932,0.0100067,5.00665e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,1e-07,0.002,0.001,3,1.0,1.2541666666666665e-09,0.9809071729957806,0.0125083,7.82289e-19,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,1e-07,0.002,0.001,3,1.0,2.1491666666666666e-09,0.9582489451476793,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,1e-07,0.004,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,1e-07,0.004,0.0,3,0.0,,0.0,0.00250166,3.12916e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,1e-07,0.004,0.0,3,1.0,2.451e-08,0.3921518987341772,0.00500333,1.25166e-19,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,1e-07,0.004,0.0,3,1.0,1.651e-08,0.5946835443037974,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,1e-07,0.004,0.0,3,1.0,1.251e-08,0.6959493670886077,0.0100067,5.00665e-19,spice,ngspice-46 : Circuit level simulation program
