cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
61,train,14,1,True,True,0.0182196,0.040695,-0.0224754,0.140217,0.10767,0.140216,0.10767,0.0406947,0.0182195,False,0.31754007500000003,0.0182196,0.040695,-0.0224754,False,0.0182195,0.0406948,-0.0224752,False,0.0182195,0.0406946,-0.0224751,False,0.014722,0.0293953,-0.0146734,False,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770113,0.26136,0.336002,0.337087,1.19999,-3.04855e-08,1.04533
62,train,7,0,True,True,0.0354288,0.0203874,0.0150414,0.133125,0.111013,0.133125,0.111012,0.0354287,0.0203873,True,0.47250024999999996,0.0354288,0.0203874,0.0150414,True,0.0354287,0.0203873,0.0150414,True,0.0354286,0.0203873,0.0150414,True,0.0257732,0.0188014,0.00697182,True,0.699475,0.770112,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335769,0.336089,1.19995,9.62804e-09,0.0439628
63,train,15,1,True,True,0.0353808,0.0168825,0.0184983,0.100746,0.127545,0.100746,0.127545,0.0168825,0.0353808,True,0.25858512499999997,0.0353808,0.0168825,0.0184983,True,0.0353808,0.0168825,0.0184983,True,0.0353807,0.0168825,0.0184982,True,0.0239647,0.0161899,0.00777472,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336747,0.336424,-3.60466e-08,1.19998,0.0269001
64,train,0,0,True,True,0.0346188,0.0197431,0.0148757,0.130496,0.108661,0.130496,0.108661,0.0346188,0.0197431,True,0.411487625,0.0346188,0.0197431,0.0148757,True,0.0346188,0.0197431,0.0148757,True,0.0346188,0.0197431,0.0148757,True,0.0257988,0.0181908,0.00760803,True,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.33578,0.336165,1.19995,-7.43276e-09,0.0239059
65,train,8,1,True,True,0.023116,0.017732,0.00538392,0.0950262,0.102943,0.0950261,0.102943,0.017732,0.023116,True,0.24862142500000003,0.023116,0.017732,0.00538392,True,0.023116,0.017732,0.00538392,True,0.023116,0.017732,0.00538392,True,0.0190021,0.0164043,0.00259779,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336854,0.336647,-4.46076e-08,1.19998,0.0268328
66,train,1,0,True,True,0.0320154,0.0199849,0.0120306,0.125348,0.107638,0.125348,0.107638,0.0320154,0.0199849,True,0.40603550000000005,0.0320154,0.0199849,0.0120306,True,0.0320154,0.0199849,0.0120306,True,0.0320154,0.0199849,0.0120306,True,0.0250291,0.0183668,0.00666233,True,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335735,0.336135,1.19995,-5.70258e-09,0.0239055
67,train,9,1,True,True,0.0209161,0.0201226,0.000793448,0.0992103,0.100381,0.0992103,0.100381,0.0201226,0.0209161,True,0.21884825,0.0209161,0.0201226,0.000793448,True,0.0209161,0.0201226,0.000793445,True,0.0209161,0.0201226,0.000793441,True,0.0174867,0.0175547,-6.79632e-05,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336824,0.336866,1.19993,2.3906e-07,1.04533
68,train,2,0,True,True,0.0249664,0.0256597,-0.000693211,0.115606,0.116636,0.115606,0.116636,0.0249664,0.0256596,False,0.402278,0.0249664,0.0256597,-0.000693211,False,0.0249664,0.0256596,-0.000693217,False,0.0249663,0.0256595,-0.000693221,False,0.0218483,0.021776,7.22641e-05,True,0.770114,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335796,0.335825,1.20106,0.000122952,0.0410244
69,train,10,1,True,True,0.0285826,0.0259585,0.0026241,0.120749,0.12466,0.120749,0.12466,0.0259585,0.0285826,True,0.433851125,0.0285826,0.0259585,0.0026241,True,0.0285826,0.0259585,0.0026241,True,0.0285826,0.0259585,0.0026241,True,0.0229891,0.0217989,0.00119023,True,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335852,0.3358,0.000124083,1.20089,0.0268904
70,train,3,0,True,True,0.0325729,0.0290171,0.00355579,0.137312,0.131985,0.137312,0.131985,0.0325728,0.029017,True,0.501806375,0.0325729,0.0290171,0.00355579,True,0.0325728,0.029017,0.0035558,True,0.0325727,0.0290169,0.0035558,True,0.0250474,0.0242797,0.000767708,True,0.432994,0.770108,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335527,0.335489,1.19993,1.34916e-07,0.0268235
71,train,11,1,True,True,0.0270263,0.0255921,0.00143411,0.118425,0.12056,0.118424,0.120559,0.025592,0.0270262,True,0.41240000000000004,0.0270263,0.0255921,0.00143411,True,0.0270262,0.0255921,0.00143411,True,0.0270261,0.025592,0.00143412,True,0.0213417,0.0210075,0.000334235,True,0.248555,0.648564,0.26177,0.516055,0.770115,0.300008,0.152067,0.402066,0.336094,0.3361,0.000118834,1.20102,0.0268062
72,train,4,0,True,True,0.0355055,0.0257744,0.00973103,0.140434,0.125925,0.140433,0.125924,0.0355052,0.0257741,True,0.607511,0.0355055,0.0257744,0.00973103,True,0.0355052,0.0257742,0.0097311,True,0.0355051,0.0257739,0.00973115,True,0.0256828,0.0228822,0.00280052,True,0.608103,0.770112,0.770112,0.645065,0.08,0.770112,0.446472,0.770112,0.335598,0.335604,1.20632,-0.000710469,0.0239132
73,train,12,1,True,True,0.0203196,0.0170188,0.00330082,0.0908789,0.0957286,0.0908789,0.0957285,0.0170188,0.0203196,True,0.255205325,0.0203196,0.0170188,0.00330082,True,0.0203196,0.0170188,0.00330082,True,0.0203196,0.0170188,0.00330082,True,0.0178274,0.0162738,0.00155363,True,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336857,0.336729,-1.31819e-09,1.19999,0.0268448
74,train,5,0,True,True,0.0300517,0.0245618,0.00548987,0.126615,0.118445,0.126615,0.118445,0.0300515,0.0245616,True,0.54557725,0.0300517,0.0245618,0.00548987,True,0.0300515,0.0245616,0.00548983,True,0.0300513,0.0245615,0.00548981,True,0.0232666,0.0212503,0.00201626,True,0.770115,0.770112,0.608497,0.770115,0.409299,0.234623,0.168272,0.633585,0.335848,0.335885,1.20101,0.000117723,0.0239056
75,train,13,1,True,True,0.0302367,0.0191351,0.0111016,0.104063,0.120384,0.104063,0.120384,0.0191351,0.0302367,True,0.33974525,0.0302367,0.0191351,0.0111016,True,0.0302367,0.0191351,0.0111016,True,0.0302367,0.0191351,0.0111016,True,0.0222443,0.0173328,0.00491153,True,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336568,0.336327,-3.31867e-08,1.19997,0.0267976
76,train,6,0,True,True,0.0342196,0.0235179,0.0107017,0.134779,0.118895,0.134779,0.118894,0.0342194,0.0235177,True,0.5987264999999999,0.0342196,0.0235179,0.0107017,True,0.0342194,0.0235177,0.0107017,True,0.0342192,0.0235175,0.0107017,True,0.0250484,0.0212997,0.00374866,True,0.541098,0.770107,0.770106,0.700955,0.34338,0.770108,0.123952,0.770106,0.335698,0.335775,1.20089,0.000123815,0.0268472
77,train,14,1,True,True,0.0325185,0.0193092,0.0132093,0.106078,0.125473,0.106078,0.125473,0.0193091,0.0325184,True,0.317540325,0.0325185,0.0193092,0.0132093,True,0.0325184,0.0193091,0.0132093,True,0.0325184,0.019309,0.0132093,True,0.0231877,0.0174706,0.00571705,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770115,0.26136,0.336526,0.336242,-3.06171e-08,1.19997,0.0268158
78,train,7,0,True,True,0.025687,0.0251479,0.000539061,0.11688,0.116079,0.11688,0.116078,0.0256869,0.0251479,True,0.47250024999999996,0.025687,0.0251479,0.000539061,True,0.0256869,0.0251479,0.000539072,True,0.0256869,0.0251478,0.000539082,True,0.0214068,0.0212328,0.000174088,True,0.699475,0.770112,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335941,0.335942,0.544374,0.544778,1.04533
79,train,15,1,True,True,0.0245049,0.0234349,0.00107006,0.110744,0.112332,0.110744,0.112332,0.0234349,0.0245049,True,0.25858512499999997,0.0245049,0.0234349,0.00107006,True,0.0245049,0.0234349,0.00107006,True,0.0245049,0.0234348,0.00107005,True,0.0176795,0.0202965,-0.00261704,False,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336444,0.336989,-3.35001e-08,1.19997,0.0410244
80,train,0,0,True,True,0.0386367,0.0145374,0.0240993,0.129352,0.0951393,0.129352,0.0951393,0.0386367,0.0145374,True,0.411487625,0.0386367,0.0145374,0.0240993,True,0.0386367,0.0145374,0.0240993,True,0.0386367,0.0145374,0.0240993,True,0.028981,0.0144256,0.0145554,True,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335722,0.336754,1.19998,-2.74478e-08,0.0239756
81,train,8,1,True,True,0.0168238,0.0220231,-0.00519923,0.0994043,0.0917713,0.0994043,0.0917713,0.0220231,0.0168238,False,0.24862142500000003,0.0168238,0.0220231,-0.00519923,False,0.0168238,0.0220231,-0.00519923,False,0.0168238,0.0220231,-0.00519924,False,0.0149175,0.0193534,-0.00443595,False,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336634,0.337221,1.19999,-9.67554e-10,1.04533
82,train,1,0,True,True,0.0302216,0.0208234,0.00939817,0.122563,0.108681,0.122563,0.108681,0.0302216,0.0208234,True,0.40603550000000005,0.0302216,0.0208234,0.00939817,True,0.0302216,0.0208234,0.00939817,True,0.0302216,0.0208234,0.00939817,True,0.0239022,0.0191302,0.00477196,True,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335795,0.336054,1.19994,2.42176e-08,0.0410244
83,train,9,1,True,True,0.0194658,0.0196312,-0.00016539,0.0966225,0.0963788,0.0966225,0.0963788,0.0196312,0.0194658,False,0.21884825,0.0194658,0.0196312,-0.00016539,False,0.0194658,0.0196312,-0.000165394,False,0.0194658,0.0196312,-0.000165398,False,0.0167639,0.0171573,-0.00039344,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336952,0.337005,-6.42306e-08,1.19998,0.0239816
84,train,2,0,True,True,0.0307272,0.019463,0.0112642,0.12188,0.105309,0.12188,0.105309,0.0307271,0.0194629,True,0.402278,0.0307272,0.019463,0.0112642,True,0.0307272,0.0194629,0.0112643,True,0.0307271,0.0194628,0.0112643,True,0.0242548,0.0187732,0.00548155,True,0.770114,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335737,0.336023,1.19994,3.98009e-08,0.02679
85,train,10,1,True,True,0.0231043,0.0301258,-0.00702144,0.125124,0.114701,0.125124,0.114701,0.0301258,0.0231043,False,0.433851125,0.0231043,0.0301258,-0.00702144,False,0.0231043,0.0301258,-0.00702144,False,0.0231043,0.0301258,-0.00702144,False,0.0205564,0.0235631,-0.0030067,False,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335804,0.33592,1.20054,0.000107646,1.04533
86,train,3,0,True,True,0.0254371,0.0344044,-0.00896731,0.124191,0.137555,0.124191,0.137555,0.025437,0.0344043,False,0.501807,0.0254371,0.0344044,-0.00896731,False,0.025437,0.0344043,-0.00896728,False,0.025437,0.0344042,-0.00896726,False,0.0215094,0.0269735,-0.00546413,False,0.432994,0.770113,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335707,0.335418,1.19993,1.4837e-07,0.0410244
87,train,11,1,True,True,0.0317884,0.0177363,0.0140521,0.101133,0.121661,0.101132,0.121661,0.0177362,0.0317883,True,0.41239925000000005,0.0317884,0.0177363,0.0140521,True,0.0317883,0.0177362,0.0140521,True,0.0317883,0.0177361,0.0140522,True,0.0241715,0.0168853,0.00728625,True,0.248555,0.648564,0.26177,0.516055,0.770109,0.300008,0.152067,0.402066,0.336428,0.335962,-2.86571e-08,1.19997,0.0269222
88,train,4,0,True,True,0.0269545,0.0330217,-0.00606723,0.127084,0.136149,0.127083,0.136148,0.0269543,0.0330214,False,0.6075094999999999,0.0269545,0.0330217,-0.00606723,False,0.0269543,0.0330214,-0.00606715,False,0.0269541,0.0330212,-0.00606708,False,0.0219611,0.0260156,-0.00405451,False,0.608103,0.770109,0.770109,0.645065,0.08,0.770109,0.446472,0.770109,0.335748,0.335506,0.000103302,1.20048,1.04533
89,train,12,1,True,True,0.0152237,0.0201347,-0.004911,0.0932535,0.0860649,0.0932535,0.0860649,0.0201347,0.0152237,False,0.255205325,0.0152237,0.0201347,-0.004911,False,0.0152237,0.0201347,-0.004911,False,0.0152237,0.0201347,-0.00491101,False,0.0143131,0.0184972,-0.00418409,False,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336709,0.337322,-4.97948e-09,1.19999,0.0410244
90,train,5,0,True,True,0.0438654,0.0136048,0.0302606,0.136461,0.0943251,0.13646,0.0943246,0.0438652,0.0136047,True,0.54557725,0.0438654,0.0136048,0.0302606,True,0.0438652,0.0136047,0.0302606,True,0.0438651,0.0136046,0.0302605,True,0.0303978,0.014652,0.0157458,True,0.770115,0.770112,0.608497,0.770115,0.409299,0.234623,0.168272,0.633585,0.335726,0.33663,1.19998,-2.6003e-08,0.0268816
91,train,13,1,True,True,0.0172295,0.0306439,-0.0134144,0.118542,0.0989604,0.118542,0.0989604,0.0306439,0.0172295,False,0.33974525,0.0172295,0.0306439,-0.0134144,False,0.0172295,0.0306439,-0.0134144,False,0.0172295,0.0306439,-0.0134144,False,0.0149891,0.0236491,-0.00865994,False,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.33627,0.337053,1.19999,-3.79984e-08,1.04533
92,train,6,0,True,True,0.0354251,0.0216672,0.0137579,0.134936,0.114627,0.134935,0.114626,0.0354249,0.021667,True,0.59872975,0.0354251,0.0216672,0.0137579,True,0.0354249,0.021667,0.0137579,True,0.0354247,0.0216668,0.0137579,True,0.0254926,0.0203346,0.00515796,True,0.541098,0.770114,0.770112,0.700955,0.34338,0.770114,0.123952,0.770113,0.335724,0.335851,1.20065,0.000113165,0.0410244
93,train,14,1,True,True,0.031451,0.016399,0.015052,0.0970508,0.118923,0.0970505,0.118922,0.0163988,0.0314509,True,0.317540325,0.031451,0.016399,0.015052,True,0.0314509,0.0163988,0.0150521,True,0.0314509,0.0163988,0.0150521,True,0.0230873,0.015399,0.00768833,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770115,0.26136,0.33692,0.336351,-3.78117e-08,1.19998,0.0239844
94,train,7,0,True,True,0.0278818,0.0221895,0.00569226,0.118949,0.110512,0.118949,0.110512,0.0278817,0.0221895,True,0.47250024999999996,0.0278818,0.0221895,0.00569226,True,0.0278817,0.0221895,0.00569224,True,0.0278817,0.0221894,0.00569223,True,0.0221406,0.0198217,0.00231884,True,0.699475,0.770112,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335969,0.336061,4.1826e-07,1.19992,1.04533
95,train,15,1,True,True,0.0231085,0.0215904,0.00151814,0.104878,0.107124,0.104878,0.107124,0.0215904,0.0231085,True,0.25858512499999997,0.0231085,0.0215904,0.00151814,True,0.0231085,0.0215904,0.00151813,True,0.0231085,0.0215903,0.00151813,True,0.0169495,0.0191045,-0.00215497,False,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336658,0.337186,1.19992,6.47827e-07,1.04533
96,final_eval,0,0,False,False,0.0340413,0.0196527,0.0143887,0.12916,0.108036,0.12916,0.108036,0.0340413,0.0196527,True,0.411487625,0.0340413,0.0196527,0.0143887,True,0.0340413,0.0196527,0.0143887,True,0.0340413,0.0196527,0.0143887,True,0.0248263,0.0185605,0.00626578,True,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335891,0.336139,1.2,5.82354e-10,
97,final_eval,1,0,False,False,0.032052,0.0196462,0.0124059,0.12496,0.106717,0.12496,0.106717,0.032052,0.0196461,True,0.40603550000000005,0.032052,0.0196462,0.0124059,True,0.032052,0.0196462,0.0124059,True,0.032052,0.0196461,0.0124059,True,0.0242462,0.0187108,0.00553543,True,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335844,0.336096,1.2,5.82354e-10,
98,final_eval,2,0,False,False,0.0331689,0.0183808,0.0147881,0.125473,0.103846,0.125473,0.103846,0.0331688,0.0183807,True,0.402278125,0.0331689,0.0183808,0.0147881,True,0.0331689,0.0183808,0.0147881,True,0.0331688,0.0183807,0.0147881,True,0.024796,0.0184236,0.00637244,True,0.770115,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335788,0.336055,1.2,5.82354e-10,
99,final_eval,3,0,False,False,0.0335007,0.0254219,0.00807885,0.135496,0.123455,0.135496,0.123455,0.0335006,0.0254218,True,0.501807125,0.0335007,0.0254219,0.00807885,True,0.0335007,0.0254218,0.00807885,True,0.0335006,0.0254218,0.00807886,True,0.0253063,0.0224742,0.0028321,True,0.432994,0.770114,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335589,0.335626,1.2,5.82354e-10,
100,final_eval,4,0,False,False,0.039356,0.0233459,0.0160101,0.145621,0.121928,0.145621,0.121927,0.0393558,0.0233456,True,0.6075123749999999,0.039356,0.0233459,0.0160101,True,0.0393558,0.0233457,0.0160101,True,0.0393556,0.0233455,0.0160101,True,0.026718,0.0215585,0.00515947,True,0.608103,0.770114,0.770115,0.645065,0.08,0.770115,0.446472,0.770115,0.335656,0.335708,1.2,5.82354e-10,
101,final_eval,5,0,False,False,0.0380127,0.019494,0.0185186,0.137066,0.110001,0.137066,0.11,0.0380125,0.0194938,True,0.5455773749999999,0.0380127,0.019494,0.0185186,True,0.0380125,0.0194939,0.0185187,True,0.0380124,0.0194937,0.0185187,True,0.0262563,0.0187471,0.00750912,True,0.770115,0.770113,0.608497,0.770115,0.409299,0.234623,0.168272,0.633585,0.33582,0.336068,1.2,5.82354e-10,
102,final_eval,6,0,False,False,0.0406729,0.0213206,0.0193524,0.145335,0.116919,0.145334,0.116918,0.0406726,0.0213203,True,0.59872975,0.0406729,0.0213206,0.0193524,True,0.0406727,0.0213204,0.0193523,True,0.0406725,0.0213202,0.0193523,True,0.0276138,0.0198871,0.00772665,True,0.541098,0.770114,0.770112,0.700955,0.34338,0.770114,0.123952,0.770113,0.33568,0.335898,1.2,5.82354e-10,
103,final_eval,7,0,False,False,0.0363907,0.0183304,0.0180603,0.13194,0.105629,0.13194,0.105629,0.0363906,0.0183304,True,0.472500375,0.0363907,0.0183304,0.0180603,True,0.0363906,0.0183304,0.0180602,True,0.0363906,0.0183303,0.0180602,True,0.0256412,0.0179382,0.00770306,True,0.699475,0.770113,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335876,0.336194,1.2,5.82354e-10,
104,final_eval,8,1,False,False,0.0220348,0.0156187,0.00641614,0.0885797,0.0979702,0.0885796,0.0979702,0.0156187,0.0220348,True,0.24862142500000003,0.0220348,0.0156187,0.00641614,True,0.0220348,0.0156187,0.00641614,True,0.0220348,0.0156187,0.00641614,True,0.0187807,0.0146458,0.00413499,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.337286,0.336781,1.2,5.82354e-10,
105,final_eval,9,1,False,False,0.0181107,0.0199209,-0.00181021,0.0959593,0.0932955,0.0959593,0.0932955,0.0199209,0.0181107,False,0.21884825,0.0181107,0.0199209,-0.00181021,False,0.0181107,0.0199209,-0.00181021,False,0.0181107,0.0199209,-0.00181022,False,0.016141,0.0170186,-0.000877585,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.337073,0.337125,5.82353e-10,1.2,
106,final_eval,10,1,False,False,0.0223027,0.0322951,-0.00999241,0.129001,0.114201,0.129001,0.114201,0.0322951,0.0223027,False,0.433851125,0.0223027,0.0322951,-0.00999241,False,0.0223027,0.0322951,-0.00999241,False,0.0223026,0.0322951,-0.00999241,False,0.0203996,0.0239454,-0.00354579,False,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335856,0.335926,5.82354e-10,1.2,
107,final_eval,11,1,False,False,0.0221893,0.0272922,-0.00510287,0.117593,0.11003,0.117593,0.110029,0.0272921,0.0221892,False,0.412399875,0.0221893,0.0272922,-0.00510287,False,0.0221892,0.0272921,-0.00510285,False,0.0221892,0.027292,-0.00510284,False,0.0190273,0.0217619,-0.00273465,False,0.248555,0.648564,0.26177,0.516055,0.770114,0.300008,0.152067,0.402066,0.336111,0.336276,1.2,5.82354e-10,
108,final_eval,12,1,False,False,0.0170664,0.0183477,-0.00128131,0.0911407,0.0892587,0.0911407,0.0892587,0.0183477,0.0170664,False,0.255205325,0.0170664,0.0183477,-0.00128131,False,0.0170664,0.0183477,-0.00128131,False,0.0170664,0.0183477,-0.00128131,False,0.0159541,0.0170091,-0.00105504,False,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336859,0.337003,1.2,5.82354e-10,
109,final_eval,13,1,False,False,0.0291599,0.0164666,0.0126933,0.0958383,0.114341,0.0958383,0.114341,0.0164666,0.0291599,True,0.33974525,0.0291599,0.0164666,0.0126933,True,0.0291599,0.0164666,0.0126933,True,0.0291599,0.0164666,0.0126933,True,0.0217781,0.0155128,0.00626529,True,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336944,0.336511,1.2,5.82354e-10,
110,final_eval,14,1,False,False,0.032382,0.0164687,0.0159133,0.0978057,0.120908,0.0978053,0.120908,0.0164686,0.032382,True,0.317540325,0.032382,0.0164687,0.0159133,True,0.032382,0.0164686,0.0159134,True,0.032382,0.0164685,0.0159135,True,0.0231502,0.0154663,0.00768387,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770115,0.26136,0.336933,0.336412,1.2,5.82354e-10,
111,final_eval,15,1,False,False,0.0362015,0.0131252,0.0230763,0.0894675,0.122021,0.0894675,0.122021,0.0131252,0.0362015,True,0.25858512499999997,0.0362015,0.0131252,0.0230763,True,0.0362015,0.0131252,0.0230763,True,0.0362015,0.0131252,0.0230763,True,0.0251671,0.0132443,0.0119228,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.33742,0.336518,5.82354e-10,1.2,
