experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.46,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,-1.11801e-120,0.3,0.320918,1.36174e-120,0.3,0.0212558,0.0209177,-0.000338016,-0.000338016,0.46,0.24,0.459644,0.236679,-0.000355616,-0.00332101,0.00296539,False
pair_action_decrease,0.46,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,-1.11801e-120,0.3,0.318132,2.08195e-121,0.3,0.0212558,0.0181325,-0.00312327,0.00312327,0.46,0.24,0.456714,0.238123,-0.00328613,-0.00187733,-0.00140881,True
pair_action_increase,0.58,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,0.299869,0.000130702,0.434881,0.299737,0.000262752,0.435338,0.434618,-0.000720556,-0.000720556,0.58,0.1,0.579382,0.0998904,-0.000617501,-0.000109542,-0.000507959,False
pair_action_decrease,0.58,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,0.299869,0.000130702,0.431838,0.299737,0.000262752,0.435338,0.431576,-0.00376279,0.00376279,0.58,0.1,0.57619,0.101311,-0.00380993,0.00131127,-0.0051212,True
pair_action_increase,0.58,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,1.30119e-14,0.3,0.434881,8.96106e-09,0.3,0.135469,0.134881,-0.000588497,-0.000588497,0.58,0.13,0.579382,0.129129,-0.000617501,-0.000871102,0.000253601,False
pair_action_decrease,0.58,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,1.30119e-14,0.3,0.431838,3.57104e-18,0.3,0.135469,0.131838,-0.00363074,0.00363074,0.58,0.13,0.57619,0.13055,-0.00380993,0.000549735,-0.00435967,True
pair_action_increase,0.58,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,-1.36186e-90,0.3,0.434881,3.88241e-89,0.3,0.135469,0.134881,-0.000588509,-0.000588509,0.58,0.16,0.579382,0.158407,-0.000617501,-0.00159282,0.000975324,False
pair_action_decrease,0.58,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,-1.36186e-90,0.3,0.431838,-3.63229e-90,0.3,0.135469,0.131838,-0.00363075,0.00363075,0.58,0.16,0.57619,0.159832,-0.00380993,-0.000168065,-0.00364187,True
pair_action_increase,0.58,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,-1.11804e-120,0.3,0.434881,1.36167e-120,0.3,0.135469,0.134881,-0.000588508,-0.000588508,0.58,0.24,0.579382,0.236679,-0.000617504,-0.00332101,0.00270351,False
pair_action_decrease,0.58,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.435469,-1.11804e-120,0.3,0.431838,-7.49338e-121,0.3,0.135469,0.131838,-0.00363074,0.00363074,0.58,0.24,0.57619,0.238123,-0.00380993,-0.00187733,-0.00193261,True
