cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
107,train,11,1,True,True,0.0939162,0.0556105,0.0383057,0.0353469,0.127469,0.000444662,0.0797222,0.0556074,0.0939943,True,0.24050087500000003,0.253607,0.24601,0.203919,0.271057,0.228704,0.221092,0.253608,0.24601,1.16014,0.00747811,1.2,3.02626e-07
108,final_eval,0,0,False,False,0.0853498,0.0580299,0.0273198,0.118344,0.0903414,0.0235086,0.0366166,0.08535,0.0580383,True,0.029863074999999996,0.0182276,0.0782389,-1.38643e-25,0.0742303,-1.67714e-25,0.0297014,0.0180864,0.02042,0.333597,0.310965,1.19661,1.15068
109,final_eval,1,0,False,False,0.0815837,0.0580283,0.0235554,0.114177,0.0903403,0.0135221,0.0367754,0.0815792,0.0580367,True,0.053589438749999996,0.0710323,0.0835194,8.55881e-50,0.15613,0.00300121,0.0605546,0.0355655,0.0189125,0.336193,0.30993,1.18667,1.14149
110,final_eval,2,0,False,False,0.063646,0.0582991,0.00534683,0.0551754,0.0906279,-0.000176868,0.0404289,0.0636425,0.058308,True,0.128768775,0.18221,0.112716,0.122181,0.137647,0.0893252,0.123475,0.122971,0.139625,0.422184,0.279595,1.17691,1.13986
111,final_eval,3,0,False,False,0.0872383,0.0580262,0.0292122,0.120185,0.0903381,0.0233857,0.0366156,0.0872358,0.0580346,True,0.0404436125,0.0349954,0.0635177,0.034539,0.0529915,0.0117654,0.0450908,0.0419964,0.0386527,0.333232,0.310972,1.16702,1.13987
112,final_eval,4,0,False,False,0.0783366,0.0580252,0.0203114,0.109359,0.090337,0.0102164,0.0349354,0.0783323,0.0580334,True,0.0525512375,0.0681154,0.0277972,0.086116,0.021295,0.0380418,0.0464737,0.0706914,0.0618794,0.338957,0.322043,1.15736,1.13986
113,final_eval,5,0,False,False,0.0838284,0.0580241,0.0258043,0.116172,0.0903359,0.00958003,0.036615,0.0838237,0.0580325,True,0.0471949375,0.0622959,0.0502184,0.0571068,0.0215944,0.0218957,0.0431715,0.0555687,0.0657081,0.336127,0.310977,1.14767,1.13986
114,final_eval,6,1,False,False,0.0935474,0.0540131,0.0395343,0.0351831,0.127089,0.00177929,0.0786761,0.0540101,0.0936339,True,0.24029849999999997,0.253416,0.245791,0.203742,0.27083,0.228519,0.220883,0.253416,0.245791,1.16257,0.00766706,1.13993,1.13945
115,final_eval,7,1,False,False,0.0935457,0.0549353,0.0386104,0.0351828,0.127088,0.00197585,0.052187,0.0549323,0.0936344,True,0.240295625,0.253413,0.245788,0.203739,0.270827,0.228516,0.22088,0.253414,0.245788,1.16242,0.100195,1.13986,1.13978
116,final_eval,8,1,False,False,0.0580214,0.0709209,-0.0128995,0.089771,0.0903327,-0.000792791,0.0387691,0.070917,0.0580298,False,0.07282882499999999,0.0808202,0.0927474,0.0836126,0.0357458,0.0519125,0.0489107,0.100565,0.0883164,0.340996,0.294977,1.13968,1.13993
117,final_eval,9,1,False,False,0.0935433,0.0568016,0.0367417,0.0351822,0.127085,0.000475624,0.0794321,0.0567985,0.0936219,True,0.24029100000000003,0.253408,0.245783,0.203735,0.270822,0.228512,0.220876,0.253409,0.245783,1.1623,0.00752949,1.13993,1.13945
118,final_eval,10,1,False,False,0.093541,0.0552919,0.038249,0.0351819,0.127083,0.000475693,0.0794305,0.0552889,0.0936196,True,0.24028787499999998,0.253405,0.24578,0.203733,0.270818,0.228509,0.220872,0.253406,0.24578,1.16237,0.00752978,1.13988,1.13978
119,final_eval,11,1,False,False,0.0935393,0.0549309,0.0386084,0.0351816,0.127081,0.000475763,0.0794291,0.0549279,0.093618,True,0.24028512500000004,0.253402,0.245777,0.20373,0.270815,0.228506,0.22087,0.253403,0.245778,1.16242,0.00753003,1.13987,1.13978
