cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
42,train,2,1,True,True,0.00234443,0.00269983,-0.000355398,0.0333209,0.0329363,0.0333266,0.0329417,0.00275115,0.00239254,False,0.086164425,0.00234443,0.00269983,-0.000355398,False,0.00238851,0.00274686,-0.000358352,False,0.00242616,0.00278682,-0.000360656,False,0.0024377,0.00279885,-0.000361146,False,0.0991501,0.062996,0.146361,0.0361506,1.18586,1.18889,1.2,1.16471e-09,1.04533
43,train,3,0,True,True,0.00659291,0.00666124,-6.8327e-05,0.0374223,0.0374997,0.0374291,0.037507,0.0066604,0.00673021,False,0.10691985,0.00659291,0.00666124,-6.8327e-05,False,0.00665484,0.00672453,-6.96879e-05,False,0.00670617,0.00677694,-7.07614e-05,False,0.00672071,0.0067917,-7.09878e-05,False,0.186661,0.0553308,0.0924083,0.0932793,1.12995,1.12854,1.2,1.16469e-09,0.0389076
44,train,0,0,True,True,0.0110209,0.011073,-5.21551e-05,0.0419911,0.0420507,0.0419953,0.0420554,0.0110878,0.0111412,False,0.095723175,0.0110209,0.011073,-5.21551e-05,False,0.0110823,0.0111356,-5.32954e-05,False,0.0111329,0.0111871,-5.42175e-05,False,0.0111476,0.011202,-5.43657e-05,False,0.0534,0.19404,0.0440497,0.091403,1.01743,1.01571,1.2,1.16469e-09,0.0129678
45,train,1,1,True,True,0.00979858,0.00969135,0.000107234,0.0406674,0.0407835,0.040678,0.0407948,0.00976928,0.00987778,True,0.092246725,0.00979858,0.00969135,0.000107234,True,0.00987127,0.00976287,0.0001084,True,0.00993115,0.00982181,0.000109338,True,0.00995081,0.00984154,0.000109266,True,0.0577189,0.125091,-1.33944e-26,0.186177,1.055,1.05192,1.2,1.16469e-09,1.04533
46,train,2,1,True,True,0.00200027,0.00282545,-0.000825181,0.0334518,0.0325752,0.0334575,0.032581,0.00287699,0.00204739,False,0.085714,0.00200027,0.00282545,-0.000825181,False,0.00204344,0.00287268,-0.000829247,False,0.00208041,0.0029128,-0.000832382,False,0.00209191,0.0029248,-0.000832893,False,0.0988688,0.0624321,0.145956,0.0355991,1.18473,1.19143,1.16482e-09,1.2,0.0276625
47,train,3,0,True,True,0.00671871,0.00661443,0.000104286,0.0375532,0.0374531,0.0375599,0.0374604,0.00678641,0.00668375,True,0.10681810000000001,0.00671871,0.00661443,0.000104286,True,0.00678084,0.00667804,0.000102793,True,0.0068323,0.0067307,0.000101604,True,0.00684684,0.00674556,0.000101276,True,0.187041,0.0549859,0.0921769,0.0930686,1.12747,1.12943,1.2,1.16469e-09,0.0223953
48,train,0,0,True,True,0.0111061,0.0109543,0.000151868,0.0420787,0.0419287,0.0420828,0.0419335,0.011173,0.0110226,True,0.0954775,0.0111061,0.0109543,0.000151868,True,0.0111675,0.011017,0.00015053,True,0.011218,0.0110686,0.000149445,True,0.0112327,0.0110835,0.000149179,True,0.0531367,0.193988,0.043776,0.0910093,1.01477,1.0194,1.16469e-09,1.2,1.04533
49,train,1,1,True,True,0.0100952,0.00939414,0.000701083,0.0403612,0.0410888,0.040372,0.0411,0.00947222,0.0101742,True,0.0919992,0.0100952,0.00939414,0.000701083,True,0.0101677,0.00946581,0.00070194,True,0.0102275,0.00952485,0.000702621,True,0.0102468,0.00954508,0.000701729,True,0.0572078,0.124647,-1.47666e-26,0.186142,1.06315,1.04346,1.16469e-09,1.2,0.0396962
50,train,2,1,True,True,0.00251708,0.00244108,7.59948e-05,0.0330525,0.0331168,0.0330584,0.0331222,0.00249218,0.0025656,True,0.085459825,0.00251708,0.00244108,7.59948e-05,True,0.00256153,0.00248791,7.36223e-05,True,0.00259947,0.00252775,7.17241e-05,True,0.00261102,0.00253987,7.11425e-05,True,0.0987013,0.0621171,0.145728,0.0352929,1.18804,1.1875,1.16471e-09,1.2,0.0129082
51,train,3,0,True,True,0.00647258,0.00713131,-0.000658726,0.0373009,0.0379839,0.0373078,0.0379908,0.00654067,0.00720003,False,0.10671265,0.00647258,0.00713131,-0.000658726,False,0.00653506,0.00719437,-0.000659313,False,0.0065868,0.00724656,-0.000659755,False,0.00660156,0.00726113,-0.000659565,False,0.187418,0.0546403,0.091938,0.0928543,1.13223,1.11901,1.16469e-09,1.2,1.04533
