image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,95,0.8705,1741,26.160880582999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,96,0.8685,1737,26.434439542,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,97,0.871,1742,26.718099457999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,98,0.873,1746,27.000985125,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,99,0.8755,1751,27.292435542,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,100,0.8725,1745,27.56960625,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,101,0.8745,1749,27.853322667,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,102,0.8745,1749,28.1343155,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,103,0.876,1752,28.411669083,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,104,0.872,1744,28.697734542,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,105,0.874,1748,28.968777457999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,106,0.876,1752,29.2464005,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,107,0.873,1746,29.525223750000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,108,0.871,1742,29.79767375,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,109,0.873,1746,30.070955458,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,110,0.875,1750,30.336608583,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,111,0.868,1736,30.603541958,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,112,0.8725,1745,30.870707957999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,113,0.8695,1739,31.136552000000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,114,0.8755,1751,31.4029595,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,115,0.8705,1741,31.693795166999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,116,0.876,1752,31.959992041999996,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,117,0.876,1752,32.225725917,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,118,0.8745,1749,32.520946417,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,119,0.8725,1745,32.7969755,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,120,0.8725,1745,33.066612041999996,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,1,0.6005,1201,0.2906177079999992,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,2,0.7855,1571,0.5797778330000014,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,3,0.819,1638,0.8538163329999975,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,4,0.8265,1653,1.1261403749999985,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,5,0.839,1678,1.4073091249999976,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,6,0.8435,1687,1.6815677499999993,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,7,0.8525,1705,1.9606454999999983,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,8,0.854,1708,2.242250124999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,9,0.8595,1719,2.5121590409999968,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,10,0.8595,1719,2.7817798330000016,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,11,0.866,1732,3.0514636659999965,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,12,0.861,1722,3.3289984159999975,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,13,0.863,1726,3.6081564999999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,14,0.863,1726,3.8751024580000006,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,15,0.8645,1729,4.141744832999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,16,0.867,1734,4.408104375000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,17,0.8615,1723,4.675140790999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,18,0.8685,1737,4.941441290999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,19,0.8685,1737,5.206880540999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,20,0.866,1732,5.4724260409999985,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,21,0.8675,1735,5.751878583,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,22,0.8685,1737,6.0170214999999985,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,23,0.8725,1745,6.295104375000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,24,0.8675,1735,6.565144457999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,25,0.866,1732,6.831548749999996,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,26,0.8725,1745,7.111314624999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,27,0.8715,1743,7.392771249999996,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,28,0.869,1738,7.672721165999995,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,29,0.8715,1743,7.959104290999996,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,30,0.874,1748,8.257743957999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,31,0.8715,1743,8.552306332999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,32,0.8715,1743,8.843898165999995,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,33,0.873,1746,9.135009666000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,34,0.8695,1739,9.432874083000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,35,0.873,1746,9.720836165999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,36,0.8745,1749,10.010831707999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,37,0.873,1746,10.297079540999995,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,38,0.874,1748,10.571730500000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,39,0.874,1748,10.854751082999996,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,40,0.875,1750,11.121521041000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,41,0.868,1736,11.394670790999996,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,42,0.8725,1745,11.677905791,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,43,0.878,1756,11.962517458,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.008,0.04,0.0,0,44,0.875,1750,12.246713290999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
