cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
12,initial_eval,12,0,False,False,0.154407,0.158594,-0.00418734,0.189595,0.193905,-0.000136159,-0.000235109,0.15441,0.158597,False,0.71812,0.154407,0.158594,-0.00418734,False,0.72051,0.728817,0.652934,0.770219,0.335655,0.335621,1.13945,1.13946,,,,,,,,,
13,initial_eval,13,0,False,False,0.125717,0.129041,-0.00332382,0.160073,0.163495,0.000324995,0.000246358,0.125722,0.129045,False,0.5017512500000001,0.125717,0.129041,-0.00332382,False,0.503241,0.525332,0.48996,0.488472,0.335535,0.335506,1.13993,1.13993,,,,,,,,,
14,initial_eval,14,0,False,False,0.157283,0.156059,0.00122373,0.192567,0.191298,-0.000162197,-0.000161233,0.157286,0.156062,True,0.7427905,0.157283,0.156059,0.00122373,True,0.77022,0.660504,0.770218,0.77022,0.335664,0.335634,1.13933,1.13938,,,,,,,,,
15,initial_eval,15,0,False,False,0.140291,0.144335,-0.00404447,0.175074,0.179236,5.39982e-05,-4.09555e-05,0.140294,0.144338,False,0.6019215,0.140291,0.144335,-0.00404447,False,0.684605,0.467712,0.570865,0.684504,0.335593,0.33556,1.13982,1.13976,,,,,,,,,
16,initial_eval,16,1,False,False,0.112773,0.110795,0.00197779,0.144709,0.146745,0.00428592,0.0042765,0.1108,0.112777,True,0.2865836,0.112773,0.110795,0.00197779,True,0.0999604,0.412792,0.449507,0.184075,0.336053,0.336029,1.13993,1.13993,,,,,,,,,
17,initial_eval,17,1,False,False,0.142152,0.152987,-0.0108347,0.188139,0.176989,0.00252158,0.00280086,0.152989,0.142155,False,0.426979525,0.142152,0.152987,-0.0108347,False,0.0912421,0.667252,0.734518,0.214906,0.336027,0.336019,1.13924,1.13939,,,,,,,,,
18,initial_eval,18,1,False,False,0.119446,0.117599,0.00184642,0.151715,0.153616,0.0030141,0.00299694,0.117604,0.11945,True,0.30445275,0.119446,0.117599,0.00184642,True,0.08,0.474305,0.468278,0.195228,0.335953,0.335928,1.13993,1.13991,,,,,,,,,
19,initial_eval,19,1,False,False,0.0830137,0.0782267,0.00478707,0.111152,0.116085,0.00969732,0.00966186,0.0782324,0.0830192,True,0.2167635,0.0830137,0.0782267,0.00478707,True,0.175672,0.226022,0.238658,0.226702,0.337964,0.337911,1.13993,1.13993,,,,,,,,,
20,initial_eval,20,1,False,False,0.0960952,0.090448,0.00564713,0.123749,0.129567,0.00697187,0.0068201,0.0904535,0.0961003,True,0.26045225,0.0960952,0.090448,0.00564713,True,0.299048,0.163159,0.184964,0.394638,0.336787,0.336717,1.13967,1.13965,,,,,,,,,
21,initial_eval,21,1,False,False,0.133542,0.133789,-0.000246833,0.168382,0.168128,0.00315354,0.00319651,0.133793,0.133546,False,0.31174452500000005,0.133542,0.133789,-0.000246833,False,0.0914141,0.50706,0.535796,0.112708,0.335876,0.335857,1.13928,1.13933,,,,,,,,,
22,initial_eval,22,1,False,False,0.091262,0.0856294,0.00563265,0.118783,0.124587,0.00866861,0.00855875,0.0856349,0.0912672,True,0.22886525000000002,0.091262,0.0856294,0.00563265,True,0.173149,0.240816,0.156831,0.344665,0.337397,0.337313,1.13993,1.13993,,,,,,,,,
23,initial_eval,23,1,False,False,0.0876544,0.0826342,0.00502014,0.115696,0.120869,0.00863615,0.00856613,0.0826399,0.0876598,True,0.23050825000000003,0.0876544,0.0826342,0.00502014,True,0.264519,0.145354,0.235699,0.276461,0.33741,0.337354,1.13983,1.13982,,,,,,,,,
24,initial_eval,24,1,False,False,0.148231,0.153066,-0.00483483,0.18822,0.183245,0.00322533,0.00339834,0.153068,0.148234,False,0.37532475000000004,0.148231,0.153066,-0.00483483,False,0.101968,0.636781,0.649199,0.113351,0.335966,0.335952,1.13898,1.13908,,,,,,,,,
25,initial_eval,25,1,False,False,0.111953,0.108944,0.00300894,0.142801,0.145899,0.00384077,0.00392061,0.108948,0.111957,True,0.22686699999999999,0.111953,0.108944,0.00300894,True,0.100075,0.331969,0.395424,0.08,0.335986,0.336,1.13993,1.13993,,,,,,,,,
26,initial_eval,26,1,False,False,0.133697,0.133735,-3.87838e-05,0.168327,0.168287,0.00288595,0.00291624,0.133739,0.1337,False,0.31912349999999995,0.133697,0.133735,-3.87838e-05,False,0.08,0.524397,0.534778,0.137319,0.335931,0.335912,1.13945,1.13948,,,,,,,,,
27,initial_eval,27,1,False,False,0.104885,0.0984367,0.00644858,0.131977,0.138619,0.0074674,0.00730727,0.0984415,0.10489,True,0.1551275,0.104885,0.0984367,0.00644858,True,0.201368,0.08,0.08,0.259142,0.337462,0.337388,1.13993,1.13993,,,,,,,,,
28,initial_eval,28,1,False,False,0.103758,0.0981017,0.00565618,0.131635,0.137461,0.00536769,0.00524347,0.098107,0.103763,True,0.2961595,0.103758,0.0981017,0.00565618,True,0.154622,0.361194,0.214988,0.453834,0.336335,0.336291,1.13977,1.13976,,,,,,,,,
