experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
write_discharge,0.16,,0.65,1.0,0.0008,,,,,0.16,0.161447,-0.00144727,0.00144727,-0.00144727,0.00144727,,,-0.00144727,
write_discharge,0.24,,0.65,1.0,0.0008,,,,,0.24,0.239735,0.000265154,-0.000265154,0.000265154,-0.000265154,,,0.000265154,
write_discharge,0.34,,0.65,1.0,0.0008,,,,,0.34,0.33805,0.00194956,-0.00194956,0.00194956,-0.00194956,,,0.00194956,
write_discharge,0.46,,0.65,1.0,0.0008,,,,,0.46,0.456714,0.00328614,-0.00328614,0.00328614,-0.00328614,,,0.00328614,
write_discharge,0.58,,0.65,1.0,0.0008,,,,,0.58,0.57619,0.00380994,-0.00380994,0.00380994,-0.00380994,,,0.00380994,
write_discharge,0.7,,0.65,1.0,0.0008,,,,,0.7,0.69606,0.00393976,-0.00393976,0.00393976,-0.00393976,,,0.00393976,
write_discharge,0.82,,0.65,1.0,0.0008,,,,,0.82,0.815951,0.00404922,-0.00404922,0.00404922,-0.00404922,,,0.00404922,
write_discharge,0.94,,0.65,1.0,0.0008,,,,,0.94,0.935873,0.00412665,-0.00412665,0.00412665,-0.00412665,,,0.00412665,
write_discharge,1.06,,0.65,1.0,0.0008,,,,,1.06,1.05585,0.00415115,-0.00415115,0.00415115,-0.00415115,,,0.00415115,
write_discharge,1.15,,0.65,1.0,0.0008,,,,,1.15,1.14585,0.00415163,-0.00415163,0.00415163,-0.00415163,,,0.00415163,
