cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
32,train,0,0,True,True,0.34301,0.332689,0.0103204,0.30091,0.251861,0.00339084,0.00689584,0.342991,0.332671,True,0.0877012375,0.0542449,0.193313,0.0449282,0.0926467,0.0451349,0.0637402,0.118488,0.089114,0.334081,0.335856,0.00330612,0.0033592
33,train,1,1,True,True,0.35681,0.3229,0.0339102,0.270603,0.339413,0.0301161,0.0245426,0.322882,0.35679,True,0.06757897249999999,0.0582596,0.125326,-1.52232e-26,0.185358,0.00777168,0.0737578,0.0416909,0.0484678,0.330489,0.32957,0.00329207,0.00301974
34,train,2,1,True,True,0.351608,0.329042,0.0225662,0.237672,0.274804,0.0107535,0.00674072,0.329024,0.351589,True,0.0932356625,0.09892,0.0633492,0.146309,0.0365676,0.0818704,0.0816531,0.118758,0.118458,0.336781,0.33608,0.00329809,0.00345737
35,train,3,0,True,True,0.334347,0.336846,-0.00249929,0.29283,0.258546,0.00259482,0.00792851,0.334328,0.336828,False,0.0887679875,0.184374,0.0558918,0.0926299,0.0932889,0.0516174,0.111612,0.0722983,0.0484316,0.334486,0.335547,0.00324693,0.00336275
36,train,0,0,True,True,0.339361,0.328823,0.0105381,0.294393,0.24553,0.00381117,0.00713635,0.339342,0.328805,True,0.08730467499999998,0.0535885,0.193085,0.0442586,0.09169,0.0447841,0.0629672,0.119713,0.088351,0.334041,0.335863,0.00326317,0.00336152
37,train,1,1,True,True,0.349753,0.317191,0.0325612,0.264539,0.333728,0.0153202,0.0141125,0.317174,0.349733,True,0.06707632625,0.0576002,0.124716,-1.49802e-26,0.185165,0.00737691,0.0726872,0.0414509,0.0476144,0.33245,0.328637,0.00321022,0.00339882
38,train,2,1,True,True,0.344886,0.32266,0.0222265,0.232006,0.268856,0.0108536,0.00682012,0.322642,0.344867,True,0.0927349375,0.0984904,0.0625761,0.145714,0.0358151,0.0815917,0.0812872,0.118375,0.11803,0.33678,0.336067,0.00323605,0.00339337
39,train,3,0,True,True,0.332028,0.336489,-0.00446114,0.286939,0.251593,0.00290689,0.00834785,0.332009,0.33647,False,0.0883992375,0.185107,0.0550443,0.0920455,0.0927212,0.0511533,0.111504,0.0719242,0.0476944,0.334431,0.335534,0.00322669,0.00336465
40,train,0,0,True,True,0.329959,0.318102,0.0118564,0.287957,0.239253,0.00424361,0.00739206,0.32994,0.318085,True,0.0868998375,0.0529246,0.192836,0.0435733,0.0907245,0.0444393,0.0621907,0.120939,0.0875713,0.333999,0.335872,0.00318147,0.0032476
41,train,1,1,True,True,0.343174,0.310835,0.0323382,0.258557,0.328108,0.0161305,0.0166215,0.310818,0.343155,True,0.06657154625,0.0569326,0.124105,-1.47331e-26,0.184973,0.00697857,0.0716107,0.0412185,0.046754,0.332197,0.328156,0.00315015,0.00333648
