cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
10,train,2,1,True,True,0.136797,0.130258,0.00653874,0.142987,0.150705,0.0116833,0.0115883,0.130251,0.136789,True,0.09544496250000001,0.100177,0.0670906,0.14915,0.0405234,0.0832236,0.0834111,0.120145,0.119839,0.341363,0.341339,0.880314,0.925324,3.05192e-187,0.00666803,0.000129288,6.14328e-05,7.41987e-05,7.41987e-05,0.000490559
11,train,3,0,True,True,0.130924,0.137537,-0.00661329,0.145669,0.153597,0.00793551,0.0077816,0.130916,0.137529,False,0.09004145000000001,0.177807,0.0603759,0.0951967,0.0958894,0.0538034,0.111452,0.0738866,0.0519206,0.339819,0.339751,0.880553,0.925014,1.36602e-216,-0.00669694,-8.36421e-05,6.13838e-05,7.41531e-05,7.41531e-05,0.000490609
12,train,0,0,True,True,0.127441,0.134365,-0.00692309,0.143398,0.152053,0.00777396,0.00759471,0.127434,0.134357,False,0.08886551250000001,0.0567822,0.193001,0.0474034,0.0964202,0.0461821,0.0670112,0.112032,0.092092,0.339293,0.339176,0.877508,0.929318,2.81082e-155,-0.00706655,-0.000143459,6.13457e-05,7.41074e-05,7.41074e-05,0.000490659
13,train,1,1,True,True,0.135204,0.128065,0.00713835,0.15044,0.15993,0.007526,0.00728823,0.128058,0.135196,True,0.06922978125,0.0603649,0.127327,-3.20134e-26,0.184982,0.00894725,0.0781654,0.04208,0.0519717,0.338265,0.33814,0.877459,0.929421,1.2581e-184,0.00732878,0.000190433,6.12862e-05,7.40618e-05,7.40618e-05,0.000490708
14,train,2,1,True,True,0.136435,0.129904,0.00653047,0.143191,0.150883,0.0115841,0.0114871,0.129897,0.136427,True,0.0946590875,0.0995101,0.0659428,0.148305,0.0394894,0.0826427,0.0827377,0.119505,0.11914,0.341292,0.34127,0.88011,0.925598,5.63116e-214,0.00665917,0.0001287,6.12803e-05,7.40162e-05,7.40162e-05,0.000490756
15,train,3,0,True,True,0.130416,0.137011,-0.0065954,0.145603,0.153489,0.00782476,0.00766919,0.130409,0.137004,False,0.08932408749999998,0.177983,0.0592161,0.0944002,0.0949697,0.0531191,0.110799,0.0732598,0.0508458,0.339731,0.339665,0.880281,0.925377,1.20349e-135,-0.0066808,-8.53949e-05,6.12315e-05,7.39707e-05,7.39707e-05,0.000490803
16,train,0,0,True,True,0.127005,0.133919,-0.00691427,0.143389,0.152033,0.00773203,0.0075519,0.126998,0.133912,False,0.0880892375,0.0558649,0.192337,0.0465031,0.0951221,0.0454383,0.0660121,0.11231,0.0911264,0.339225,0.33911,0.877202,0.92976,5.38674e-165,-0.00706093,-0.000146665,6.11935e-05,7.39252e-05,7.39252e-05,0.000490849
17,train,1,1,True,True,0.134709,0.127545,0.00716412,0.150502,0.159963,0.00758474,0.00734771,0.127538,0.134702,True,0.0684161825,0.0593091,0.126422,-3.13563e-26,0.184282,0.00821346,0.0768016,0.041418,0.0508833,0.338224,0.338101,0.877015,0.93007,2.41107e-194,0.00733124,0.000167114,6.11344e-05,7.38797e-05,7.38797e-05,0.000490894
18,train,2,1,True,True,0.136083,0.12956,0.00652208,0.143406,0.151073,0.0114799,0.0113811,0.129553,0.136075,True,0.09385875,0.0988133,0.0647845,0.147449,0.0384326,0.0820632,0.0820634,0.118846,0.118418,0.341221,0.341199,0.879909,0.92587,1.81578e-154,0.00665003,0.000127957,6.11282e-05,7.38342e-05,7.38342e-05,0.000490938
19,train,3,0,True,True,0.129914,0.136492,-0.00657756,0.145542,0.153386,0.00772439,0.00756713,0.129907,0.136484,False,0.0885976875,0.178119,0.058056,0.0935865,0.0940433,0.0524282,0.11016,0.0726264,0.0497621,0.339643,0.339579,0.880006,0.925747,8.12729e-184,-0.0066646,-8.70391e-05,6.10796e-05,7.37888e-05,7.37888e-05,0.000490982
