cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
77,train,1,1,True,True,0.124112,0.109664,0.0144481,0.136649,0.156805,0.0247064,0.032844,0.109658,0.124105,True,0.0711871125,0.0629109,0.12942,-3.35813e-26,0.186788,0.0107383,0.081478,0.0435727,0.054589,0.340449,0.331747,0.823274,1.2,0.0,0.0153283,0.000880244,0.0224657,0.000508251,0.0224657,2.68064e-07
78,train,2,1,True,True,0.110035,0.107055,0.0029802,0.119445,0.11914,0.0135458,0.0115618,0.107049,0.110029,True,0.096768075,0.101394,0.0690002,0.150523,0.0421525,0.0841977,0.0845982,0.121198,0.121081,0.340818,0.341957,0.861357,0.958266,0.0,0.0033592,0.000379005,0.00843772,0.000762411,0.00843772,2.68064e-07
79,train,3,0,True,True,0.114262,0.11316,0.00110248,0.140559,0.128284,0.00659094,0.00926615,0.114256,0.113154,True,0.0914501125,0.177603,0.062589,0.0966999,0.0976807,0.0551216,0.112817,0.0751116,0.0539781,0.338263,0.340561,0.911979,0.890344,0.0,0.00420539,0.00310291,0.0221211,0.000592008,0.0221211,2.68064e-07
80,train,0,0,True,True,0.117594,0.109111,0.00848284,0.146083,0.127342,0.0066245,0.00757466,0.117588,0.109105,True,0.0905578375,0.0587594,0.194412,0.0493331,0.0992191,0.0478314,0.0691714,0.111594,0.0941423,0.337317,0.34028,1.19874,0.839029,0.0,0.00896874,0.000485907,0.0186269,0.000799422,0.0186269,2.68064e-07
81,train,1,1,True,True,0.122865,0.108609,0.0142559,0.13575,0.155481,0.0252311,0.0329381,0.108603,0.122858,True,0.07118655,0.0629101,0.129419,-3.35809e-26,0.186788,0.0107378,0.0814769,0.0435724,0.0545882,0.340346,0.331499,0.818903,1.2,0.0,0.0150824,0.000826483,0.0155093,0.000480572,0.0155093,2.68063e-07
82,train,2,1,True,True,0.109496,0.10675,0.00274544,0.120029,0.117802,0.021805,0.0182736,0.106744,0.10949,True,0.0967675125,0.101394,0.0689994,0.150523,0.0421518,0.0841972,0.0845977,0.121197,0.12108,0.341033,0.343372,0.862472,0.955615,0.0,0.00315997,0.000414533,0.00840181,0.000755429,0.00840181,2.68063e-07
83,train,3,0,True,True,0.11483,0.111244,0.0035854,0.142086,0.126967,0.00670526,0.0079164,0.114824,0.111238,True,0.0914494875,0.177603,0.0625881,0.0966993,0.09768,0.0551211,0.112816,0.0751111,0.0539773,0.337898,0.340579,0.940543,0.870066,0.0,0.00503313,0.00144773,0.0215175,0.000537165,0.0215175,2.68063e-07
84,train,0,0,True,True,0.11689,0.108771,0.00811905,0.145497,0.126102,0.00741088,0.00749849,0.116884,0.108765,True,0.0905572875,0.0587587,0.194412,0.0493324,0.0992181,0.0478308,0.0691707,0.111594,0.0941416,0.337253,0.340295,1.19899,0.838992,0.0,0.00963667,0.00151762,0.0105874,0.00079135,0.0105874,2.68063e-07
85,train,1,1,True,True,0.121649,0.107591,0.0140578,0.135239,0.154191,0.0263222,0.0330314,0.107585,0.121642,True,0.071186,0.0629094,0.129419,-3.35805e-26,0.186787,0.0107373,0.0814759,0.043572,0.0545874,0.340052,0.331245,0.81373,1.2,0.0,0.0148714,0.000813611,0.00871815,0.000454447,0.00871815,2.68063e-07
86,train,2,1,True,True,0.107727,0.105424,0.00230276,0.119735,0.116506,0.0145054,0.0103454,0.105418,0.107721,True,0.09676694999999999,0.101393,0.0689986,0.150522,0.042151,0.0841968,0.0845972,0.121197,0.12108,0.340303,0.342016,0.859597,0.962111,0.0,0.00272947,0.000426716,0.00828353,0.000731253,0.00828353,2.68062e-07
