image_size,block_size,stride,blocks,shared_channels,private_channels,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,private_weight_values,private_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,67,0.896,896,20.256515999999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,68,0.895,895,20.700444708,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,69,0.896,896,20.980022207999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,70,0.89,890,21.265366708,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,71,0.885,885,21.5387025,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,72,0.895,895,21.803434125,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,73,0.892,892,22.16061,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,74,0.894,894,22.450283499999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,75,0.891,891,22.784954167,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,76,0.891,891,23.143503416999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,77,0.893,893,23.392494,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,78,0.894,894,23.632566792,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,79,0.895,895,23.857855958000002,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,80,0.897,897,24.175827458,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,1,0.559,559,0.370649874999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,2,0.719,719,0.6493735829999991,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,3,0.774,774,0.8656915830000003,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,4,0.792,792,1.0593872500000003,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,5,0.808,808,1.240037957999995,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,6,0.828,828,1.4239090419999982,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,7,0.85,850,1.6150094579999958,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,8,0.86,860,1.8338882079999976,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,9,0.862,862,2.0395380419999967,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,10,0.845,845,2.249127416999997,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,11,0.857,857,2.4302250419999964,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,12,0.852,852,2.602729457999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,13,0.864,864,2.8205959579999984,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,14,0.875,875,3.047513166999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,15,0.867,867,3.2365254169999957,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,16,0.861,861,3.416206041999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,17,0.884,884,3.606658750000001,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,18,0.857,857,3.793061999999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,19,0.88,880,3.9710754580000014,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,20,0.881,881,4.151318832999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,21,0.877,877,4.342750041999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,22,0.888,888,4.534914375,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,23,0.879,879,4.776404708000001,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,24,0.875,875,4.996011750000001,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,25,0.877,877,5.196510167,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,26,0.889,889,5.402482874999997,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,27,0.88,880,5.631163999999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,28,0.883,883,5.844386792000002,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,29,0.883,883,6.045601624999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,30,0.874,874,6.269722916999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,31,0.886,886,6.475021333000001,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,32,0.874,874,6.695221957999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,33,0.884,884,6.901078999999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,34,0.886,886,7.103802250000001,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,35,0.875,875,7.315740792,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,36,0.883,883,7.528323166999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,37,0.887,887,7.739585792,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,38,0.884,884,8.014929082999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,39,0.881,881,8.307665541999995,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,40,0.879,879,8.571822374999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,41,0.884,884,8.907938791999996,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.03,0.15,0.0,0,42,0.872,872,9.239259208,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
